start_id,start_vertex_type,end_id,end_vertex_type,fe,co2
648,Car,46,Engine,16.74,531
648,Car,34,Engine,18.1,494
649,Car,50,Engine,16.5,537
649,Car,18,Engine,14.73,602
650,Car,33,Engine,26.23,337
651,Car,50,Engine,26.47,384
651,Car,12,Engine,22.6,394
652,Car,4,Engine,28,315
653,Car,53,Engine,17.68,508
654,Car,50,Engine,18.63,472
655,Car,50,Engine,18.7,470
656,Car,34,Engine,22.82,392
657,Car,33,Engine,26.95,328
658,Car,40,Engine,22.75,394
659,Car,45,Engine,20.02,447
659,Car,33,Engine,23.29,385
660,Car,14,Engine,21.99,407
661,Car,54,Engine,16.51,533
662,Car,33,Engine,22.25,411
662,Car,12,Engine,19.33,460
663,Car,26,Engine,11.89,748
664,Car,50,Engine,24.04,436
665,Car,50,Engine,22.86,388
666,Car,17,Engine,18.44,480
667,Car,33,Engine,26.8,331
668,Car,33,Engine,24.91,364
669,Car,57,Engine,15.53,570
670,Car,33,Engine,25.39,350
671,Car,4,Engine,22.16,401
671,Car,6,Engine,25.06,355
672,Car,36,Engine,31.56,284
672,Car,6,Engine,31.88,281
673,Car,12,Engine,20.24,448
674,Car,16,Engine,15.91,559.5
675,Car,50,Engine,25.44,348
676,Car,26,Engine,15.9,556.5
677,Car,17,Engine,17.12,519
677,Car,12,Engine,19.72,450
678,Car,47,Engine,19.1,465
679,Car,24,Engine,13.54,652
680,Car,38,Engine,24.31,372
681,Car,33,Engine,28.24,315
682,Car,58,Engine,13.86,636
683,Car,54,Engine,17.23,525
684,Car,50,Engine,19,466
685,Car,50,Engine,22.89,383
